Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Class
14.49,0.57,78.71,6.55,2.52,42574.2,40,600,1
5.25,0.34,52.18,0.92,13.35,316.85,475,600,8
13.67,0.52,76.35,5.46,3.28,9004.15,40,700,2
5.36,0.33,56.41,1.0,12.31,1097.49,340,600,8
10.0,0.52,77.32,4.05,3.2,9296.16,340,600,6
0.86,0.07,24.98,0.01,75.17,0.63,40,450,4
0.63,0.01,0.0,0.0,10.07,-0.05,40,450,4
14.81,0.56,73.05,6.01,3.5,14950.86,40,650,1
5.95,0.22,39.82,0.52,18.26,146.3,40,500,5
5.41,0.34,52.74,0.96,12.71,334.44,475,600,8
6.16,0.22,38.31,0.52,18.64,121.52,40,500,5
13.88,0.54,53.88,4.06,26.62,4195.96,40,600,1
6.07,0.11,28.85,0.19,13.16,8.59,40,450,4
11.65,0.46,61.24,3.31,9.12,2454.54,40,700,3
10.34,0.49,70.02,3.57,4.54,6963.98,185,600,7
10.01,0.06,25.28,0.16,6.18,0.01,475,600,6
10.75,0.4,51.74,2.23,13.65,533.54,40,550,3
14.2,0.45,66.78,4.24,3.63,4131.67,40,550,1
4.77,0.32,54.13,0.83,13.66,821.83,107,600,8
6.33,0.21,36.36,0.49,18.84,87.22,40,500,5
11.2,0.52,74.75,4.4,4.19,7556.55,475,600,7
12.54,0.43,58.07,3.14,5.03,858.65,40,500,1
14.72,0.56,76.48,6.34,3.22,31409.97,40,700,2
14.54,0.56,76.07,6.23,3.03,31612.66,40,500,1
9.13,0.44,55.18,2.19,17.32,831.57,40,700,4
12.06,0.48,68.53,4.0,6.22,4056.18,40,650,4
11.6,0.56,75.59,4.89,4.23,48797.9,40,600,7
13.74,0.51,73.55,5.2,3.82,8118.63,40,550,2
5.45,0.34,54.7,1.02,12.46,552.15,475,600,8
10.31,0.4,53.59,2.23,13.22,714.49,40,550,3
6.04,0.22,39.08,0.52,18.35,133.47,40,500,5
5.42,0.02,24.95,0.03,4.31,-0.04,40,500,4
6.04,0.19,28.34,0.33,24.92,17.79,40,450,2
6.96,0.35,50.55,1.22,14.6,633.66,40,600,8
5.97,0.41,54.04,1.33,12.11,525.57,40,450,2
