Jsc,Voc,FF,Efficiency,Rs,Rp,Rate,Temp,Voc_Jsc_Ratio,Rp_Ps_Ratio,Class
11.2,525.99,74.75,4.4,4.19,7556.55,475,600,46.96,1803.4726,1
10.31,492.7,67.05,3.4,5.12,4535.57,475,600,47.79,885.8535,1
6.93,300.1,56.54,1.18,8.1,796.13,475,600,43.3,98.2877,1
12.11,551.7,77.16,5.15,3.78,15317.47,475,600,45.56,4052.2407,1
12.39,563.6,77.01,5.38,3.6,23966.02,475,600,45.49,6657.2278,1
12.09,551.66,77.58,5.17,3.63,14246.39,475,600,45.63,3924.6253,1
7.73,332.15,58.19,1.49,7.74,980.31,475,600,42.97,126.655,1
7.34,334.77,49.67,1.22,13.47,497.65,40,600,45.61,36.9451,5
7.32,337.7,50.22,1.24,13.73,562.39,40,600,46.13,40.9607,5
7.52,340.87,49.59,1.27,14.48,555.77,40,600,45.33,38.3819,5
7.02,340.87,48.45,1.16,16.0,514.67,40,600,48.56,32.1669,5
7.36,352.07,51.52,1.34,13.22,648.74,40,600,47.84,49.0726,5
7.24,343.24,51.17,1.27,12.93,606.18,40,600,47.41,46.8817,5
6.96,346.13,50.55,1.22,14.6,633.66,40,600,49.73,43.4014,5
6.86,351.43,47.9,1.15,18.79,567.39,40,600,51.23,30.1964,5
4.35,320.41,54.93,0.76,14.41,994.53,107,600,73.66,69.0167,5
4.47,319.98,54.9,0.79,14.1,1021.26,107,600,71.58,72.4298,5
4.66,323.54,55.2,0.83,13.59,1014.84,107,600,69.43,74.6755,5
4.74,326.59,55.31,0.86,13.43,1014.91,107,600,68.9,75.5704,5
4.77,322.71,54.13,0.83,13.66,821.83,107,600,67.65,60.1633,5
4.85,322.23,54.09,0.84,13.62,847.21,107,600,66.44,62.2034,5
4.94,326.55,54.3,0.88,13.39,851.23,107,600,66.1,63.5721,5
5.12,330.32,54.63,0.92,12.82,852.5,107,600,64.52,66.4977,5
5.7,329.64,55.28,1.04,11.23,849.77,185,600,57.83,75.6696,5
5.34,326.88,56.2,0.98,11.51,1001.14,185,600,61.21,86.98,5
5.19,323.58,55.84,0.94,11.92,979.46,185,600,62.35,82.1695,5
5.19,320.46,55.58,0.92,11.94,936.91,185,600,61.75,78.4682,5
6.17,334.3,55.02,1.13,10.63,743.71,185,600,54.18,69.9633,5
5.77,328.49,55.21,1.05,11.18,838.3,185,600,56.93,74.9821,5
5.63,325.83,55.23,1.01,11.41,854.42,185,600,57.87,74.8834,5
