Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Class,Voc_Jsc_Ratio,Rp_Ps_Ratio
11.6,551.96,74.5,4.77,4.46,17311.36,40,600,1,47.58,0.0043
11.67,555.38,75.99,4.92,3.95,30102.4,40,600,1,47.59,0.0025
11.63,554.27,75.84,4.89,4.09,34005.0,40,600,1,47.66,0.0022
11.6,554.45,74.08,4.76,5.12,33046.35,40,600,1,47.8,0.0022
11.55,555.09,29.84,1.91,73.7,595.65,40,600,1,48.06,0.0501
11.6,557.44,75.59,4.89,4.23,48797.9,40,600,1,48.06,0.0015
11.61,556.69,76.39,4.94,3.81,37667.42,40,600,1,47.95,0.002
7.31,402.84,66.19,1.95,5.95,2231.49,107,600,1,55.11,0.0297
8.19,423.39,67.52,2.34,5.26,3052.5,107,600,1,51.7,0.0221
9.05,441.85,68.41,2.73,4.79,4149.03,107,600,1,48.82,0.0165
9.07,438.94,67.79,2.7,4.9,3801.57,107,600,1,48.39,0.0178
10.22,512.65,74.79,3.92,3.53,10546.44,107,600,1,50.16,0.0071
10.49,548.2,78.89,4.54,2.98,22919.14,107,600,1,52.26,0.0034
10.5,555.82,79.57,4.64,2.87,29905.85,107,600,1,52.94,0.0027
9.92,490.43,72.58,3.53,3.81,8385.29,107,600,1,49.44,0.0087
10.6,537.58,77.79,4.43,3.35,17736.13,185,600,1,50.72,0.0044
10.07,493.03,74.0,3.67,3.84,5921.52,185,600,1,48.96,0.0125
10.3,496.54,73.48,3.76,3.92,7127.89,185,600,1,48.21,0.0103
10.34,493.11,70.02,3.57,4.54,6963.98,185,600,1,47.69,0.0101
10.69,551.02,78.52,4.63,3.28,30280.68,185,600,1,51.55,0.0026
10.81,565.28,78.25,4.78,3.3,43398.99,185,600,1,52.29,0.0018
10.8,564.82,78.52,4.79,3.36,40954.09,185,600,1,52.3,0.0019
10.07,464.33,67.79,3.17,5.13,6767.73,185,600,1,46.11,0.01
11.0,516.98,77.07,4.38,2.94,6082.77,340,600,1,47.0,0.0127
11.14,522.52,76.8,4.47,3.25,7361.78,340,600,1,46.9,0.0104
11.02,521.23,76.52,4.39,3.39,6969.22,340,600,1,47.3,0.011
10.94,514.7,75.3,4.24,3.5,6071.5,340,600,1,47.05,0.0124
11.17,519.59,77.06,4.47,2.87,6445.34,340,600,1,46.52,0.012
11.22,524.69,76.83,4.52,3.28,7688.64,340,600,1,46.76,0.01
11.3,528.19,76.88,4.59,3.22,8717.94,340,600,1,46.74,0.0088
11.09,521.83,76.74,4.44,3.3,7182.42,340,600,1,47.05,0.0107
11.27,528.36,75.72,4.51,3.93,7624.36,475,600,1,46.88,0.0099
11.2,525.99,74.75,4.4,4.19,7556.55,475,600,1,46.96,0.0099
10.31,492.7,67.05,3.4,5.12,4535.57,475,600,1,47.79,0.0148
6.93,300.1,56.54,1.18,8.1,796.13,475,600,1,43.3,0.071
12.11,551.7,77.16,5.15,3.78,15317.47,475,600,1,45.56,0.005
12.39,563.6,77.01,5.38,3.6,23966.02,475,600,1,45.49,0.0032
12.09,551.66,77.58,5.17,3.63,14246.39,475,600,1,45.63,0.0054
7.73,332.15,58.19,1.49,7.74,980.31,475,600,1,42.97,0.0594
7.34,334.77,49.67,1.22,13.47,497.65,40,600,5,45.61,0.0998
7.32,337.7,50.22,1.24,13.73,562.39,40,600,5,46.13,0.0893
7.52,340.87,49.59,1.27,14.48,555.77,40,600,5,45.33,0.0892
7.02,340.87,48.45,1.16,16.0,514.67,40,600,5,48.56,0.0941
7.36,352.07,51.52,1.34,13.22,648.74,40,600,5,47.84,0.0794
7.24,343.24,51.17,1.27,12.93,606.18,40,600,5,47.41,0.0844
6.96,346.13,50.55,1.22,14.6,633.66,40,600,5,49.73,0.0798
6.86,351.43,47.9,1.15,18.79,567.39,40,600,5,51.23,0.0844
4.35,320.41,54.93,0.76,14.41,994.53,107,600,5,73.66,0.0552
4.47,319.98,54.9,0.79,14.1,1021.26,107,600,5,71.58,0.0538
4.66,323.54,55.2,0.83,13.59,1014.84,107,600,5,69.43,0.0544
4.74,326.59,55.31,0.86,13.43,1014.91,107,600,5,68.9,0.0545
4.77,322.71,54.13,0.83,13.66,821.83,107,600,5,67.65,0.0659
4.85,322.23,54.09,0.84,13.62,847.21,107,600,5,66.44,0.0638
4.94,326.55,54.3,0.88,13.39,851.23,107,600,5,66.1,0.0638
5.12,330.32,54.63,0.92,12.82,852.5,107,600,5,64.52,0.0641
5.7,329.64,55.28,1.04,11.23,849.77,185,600,5,57.83,0.0651
5.34,326.88,56.2,0.98,11.51,1001.14,185,600,5,61.21,0.0561
5.19,323.58,55.84,0.94,11.92,979.46,185,600,5,62.35,0.057
5.19,320.46,55.58,0.92,11.94,936.91,185,600,5,61.75,0.0593
6.17,334.3,55.02,1.13,10.63,743.71,185,600,5,54.18,0.074
5.77,328.49,55.21,1.05,11.18,838.3,185,600,5,56.93,0.0659
5.63,325.83,55.23,1.01,11.41,854.42,185,600,5,57.87,0.0646
5.6,323.81,54.4,0.99,11.92,790.03,185,600,5,57.82,0.0689
5.11,327.63,55.15,0.92,14.01,1067.45,340,600,5,64.12,0.0517
5.06,328.54,56.42,0.94,12.9,1125.09,340,600,5,64.93,0.0501
5.15,329.67,56.07,0.95,13.01,1085.77,340,600,5,64.01,0.0516
5.36,331.94,56.41,1.0,12.31,1097.49,340,600,5,61.93,0.0514
5.07,330.02,55.53,0.93,13.56,1085.09,340,600,5,65.09,0.0512
5.06,329.25,55.83,0.93,13.07,1108.2,340,600,5,65.07,0.0504
5.13,327.74,55.77,0.94,12.72,1035.56,340,600,5,63.89,0.0539
5.32,324.92,55.23,0.96,12.54,941.68,340,600,5,61.08,0.0587
5.38,329.2,50.44,0.89,15.71,367.92,475,600,5,61.19,0.1371
5.23,332.05,50.89,0.88,13.92,285.64,475,600,5,63.49,0.1782
5.25,336.48,52.18,0.92,13.35,316.85,475,600,5,64.09,0.1647
5.31,340.37,52.89,0.96,12.93,342.59,475,600,5,64.1,0.1544
5.51,322.61,53.06,0.94,13.6,585.65,475,600,5,58.55,0.0906
5.36,329.58,53.27,0.94,12.85,430.96,475,600,5,61.49,0.1236
5.41,337.71,52.74,0.96,12.71,334.44,475,600,5,62.42,0.1577
5.45,343.8,54.7,1.02,12.46,552.15,475,600,5,63.08,0.0991
