Jsc,Voc,FF,Efficiency,Sr,Sp,Rate,Temp,Voc_Jsc_Ratio,Rp_Ps_Ratio,Class
0.63,0.01,0.0,0.0,10.07,0.05,40,450,15.87,0.0,4
14.81,0.56,73.05,6.01,3.5,14950.86,40,650,37.81,0.0049,1
5.95,0.22,39.82,0.52,18.26,146.3,40,500,36.97,0.2722,5
6.16,0.22,38.31,0.52,18.64,121.52,40,500,35.71,0.3153,5
13.88,0.54,53.88,4.06,26.62,4195.96,40,600,38.9,0.0128,1
6.07,0.11,28.85,0.19,13.16,8.59,40,450,18.12,3.3586,4
11.65,0.46,61.24,3.31,9.12,2454.54,40,700,39.48,0.0249,3
11.09,0.52,76.74,4.44,3.3,7182.42,340,600,46.89,0.0107,1
4.35,0.32,54.93,0.76,14.41,994.53,107,600,73.56,0.0552,5
10.75,0.4,51.74,2.23,13.65,533.54,40,550,37.21,0.097,3
14.2,0.45,66.78,4.24,3.63,4131.67,40,550,31.69,0.0162,1
6.33,0.21,36.36,0.49,18.84,87.22,40,500,33.18,0.4169,5
4.85,0.32,54.09,0.84,13.62,847.21,107,600,65.98,0.0638,5
12.54,0.43,58.07,3.14,5.03,858.65,40,500,34.29,0.0676,1
14.72,0.56,76.48,6.34,3.22,31409.97,40,700,38.04,0.0024,2
14.54,0.56,76.07,6.23,3.03,31612.66,40,500,38.51,0.0024,1
9.13,0.44,55.18,2.19,17.32,831.57,40,700,48.19,0.0664,4
12.06,0.48,68.53,4.0,6.22,4056.18,40,650,39.8,0.0169,4
9.05,0.44,68.41,2.73,4.79,4149.03,107,600,48.62,0.0165,1
13.74,0.51,73.55,5.2,3.82,8118.63,40,550,37.12,0.0091,2
5.45,0.34,54.7,1.02,12.46,552.15,475,600,62.39,0.0991,5
10.31,0.4,53.59,2.23,13.22,714.49,40,550,38.8,0.075,3
6.04,0.22,39.08,0.52,18.35,133.47,40,500,36.42,0.2928,5
5.42,0.02,24.95,0.03,4.31,0.04,40,500,3.69,623.75,4
6.04,0.19,28.34,0.33,24.92,17.79,40,450,31.46,1.593,2
5.15,0.33,56.07,0.95,13.01,1085.77,340,600,64.08,0.0516,5
5.97,0.41,54.04,1.33,12.11,525.57,40,450,68.68,0.1028,2
